,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Dubreka,GN,9.7911,-13.5233,80.67,83,75,3.49,broken clouds
318,Kautokeino,NO,69.0125,23.0412,44.44,77,100,11.81,overcast clouds
319,Hofn,IS,64.2539,-15.2082,53.82,91,88,3.51,overcast clouds
320,Harper,LR,4.375,-7.7169,76.6,80,52,6.58,broken clouds
321,San Quintin,MX,30.4833,-115.95,79.27,55,0,14.99,clear sky
322,Mount Gambier,AU,-37.8333,140.7667,46.31,93,75,8.05,broken clouds
323,Phuket,TH,8.0,98.25,83.08,89,40,13.8,scattered clouds
324,Skibbereen,IE,51.55,-9.2667,58.8,87,96,3.94,overcast clouds
325,Champerico,GT,14.3,-91.9167,93.74,67,86,7.76,overcast clouds
326,Fuerte Olimpo,PY,-21.0415,-57.8738,80.13,28,100,4.74,overcast clouds
327,Oranjemund,NA,-28.55,16.4333,60.35,64,1,1.9,clear sky
328,Mersing,MY,2.4312,103.8405,75.11,94,14,5.75,few clouds
329,Brownsville,US,25.9018,-97.4975,96.98,50,1,7.0,clear sky
330,Temirtau,KZ,50.0544,72.9483,50.25,58,77,1.19,broken clouds
331,Kijang,KR,35.2442,129.2139,78.53,78,81,3.18,broken clouds
332,Fairbanks,US,64.8378,-147.7164,84.6,51,1,0.0,clear sky
333,Cabo San Lucas,MX,22.8909,-109.9124,84.94,63,100,12.33,overcast clouds
334,Trairi,BR,-3.2778,-39.2689,78.57,75,19,8.95,few clouds
335,Montes Claros,BR,-16.735,-43.8617,80.38,29,0,9.22,clear sky
336,Port Blair,IN,11.6667,92.75,81.82,83,100,18.3,overcast clouds
337,Santiago,CL,-33.4569,-70.6483,76.44,24,0,4.61,haze
338,Teya,RU,60.3778,92.6267,59.13,76,77,0.47,broken clouds
339,Bani,DO,18.2833,-70.3333,89.04,63,42,12.39,scattered clouds
340,Nemuro,JP,43.3236,145.575,65.25,98,100,7.67,overcast clouds
341,Trinidad,BO,-14.8333,-64.9,84.18,39,75,8.05,broken clouds
342,Opuwo,NA,-18.0607,13.84,60.67,56,0,6.98,clear sky
343,Anchorage,US,61.2181,-149.9003,70.21,69,1,1.01,clear sky
344,Katsuura,JP,35.1333,140.3,80.71,84,17,6.15,few clouds
345,Arkhangelsk,RU,64.5401,40.5433,60.91,82,20,11.18,few clouds
