City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Mikumi,TZ,66.36,scattered clouds,-7.4041,36.9831,Morio Motel and Campsite
514,Cookeville,US,83.57,few clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
516,Sao Felix Do Xingu,BR,87.55,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
517,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
518,Urubicha,BO,86.61,overcast clouds,-15.3833,-62.95,
520,Ureki,GE,75.63,clear sky,41.9956,41.7786,Hotel Ritsa
523,Pekan,MY,78.91,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
524,Beauvais,FR,62.76,broken clouds,49.4167,2.0,LA GRANGE DE GEORGES
526,Shenzhen,CN,83.21,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
527,Kharagpur,IN,80.33,overcast clouds,22.3333,87.3333,Guin Bros Lodge
528,Bundaberg,AU,62.22,overcast clouds,-24.85,152.35,Takalvan Motel
529,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
533,Birjand,IR,72.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
537,Chicama,PE,64.94,clear sky,-7.8447,-79.1469,Balihai Bungalows
538,Kazerun,IR,88.57,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
539,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
540,San Juan,AR,69.37,clear sky,-31.5375,-68.5364,Hotel Provincial
542,Kalmunai,LK,80.83,overcast clouds,7.4167,81.8167,VS Villa
543,Acajutla,SV,87.8,light rain,13.5928,-89.8275,asi es
544,Prestea,GH,75.49,overcast clouds,5.4327,-2.1428,Channel 5
545,Pangai,TO,75.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
552,Guadix,ES,76.35,clear sky,37.2993,-3.1392,Hotel YIT Abentofail
553,Saint-Pierre,RE,69.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
554,Komsomolskiy,UZ,80.02,broken clouds,40.4272,71.7189,Ikathouse
555,Sanski Most,BA,71.08,few clouds,44.7653,16.6656,Hotel Sanus
556,Attock,PK,79.77,clear sky,33.7695,72.3611,COMSATS hostel Ahmed Plaza Attock
558,Tete,MZ,71.69,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
560,Juegang,CN,81.99,light rain,32.3174,121.1855,Rudong Y Hotel
561,Jiwani,PK,80.42,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
562,Nishihara,JP,80.65,mist,26.1842,127.7558,Minshuku Agaihama
563,Sao Joao Da Barra,BR,73.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
564,Hondo,JP,79.7,broken clouds,32.45,130.2,ホテル河丁
565,Port Keats,AU,73.9,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
566,Namibe,AO,66.52,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
567,Yining,CN,77.4,clear sky,29.0361,114.5636,Xiushui Hotel
568,Camenca,MD,63.09,few clouds,48.0319,28.6978,Vila Dora
569,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
570,Lindi,TZ,70.32,broken clouds,-10.0,39.7167,Lindi paradise house
571,Bari,IT,86.18,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
572,Bull Savanna,JM,81.12,overcast clouds,17.8868,-77.5902,Big Red's
573,Oktyabrskiy,RU,75.54,scattered clouds,54.4815,53.471,Уязы-Тау гостиница
575,Tooele,US,88.25,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
578,Utraula,IN,80.24,overcast clouds,27.3167,82.4167,Taj Hotel and Lodge
579,Taranto,IT,83.19,scattered clouds,40.6167,17.25,Masseria Quis Ut Deus - Piscina riservata agli ospiti
580,Balmullo,GB,62.53,broken clouds,56.3769,-2.9294,Drumoig Golf Hotel
581,Vao,NC,68.9,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
583,Mangrol,IN,81.43,light rain,21.1167,70.1167,Hotel The Royal Honours
585,Lumeje,AO,65.93,few clouds,-11.55,20.7833,
586,Alugan,PH,81.61,overcast clouds,12.2188,125.4808,JM Lodge
587,Mbaiki,CF,73.2,overcast clouds,3.8678,17.9892,
590,Mwense,ZM,63.7,clear sky,-10.3845,28.698,Mwense Council Guest House
591,Uzhhorod,UA,65.39,broken clouds,48.6167,22.3,Atlant
592,Mackay,AU,62.04,clear sky,-21.15,149.2,International Lodge Motel
593,Puerto Escondido,MX,88.12,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
594,Kanash,RU,67.59,light rain,55.5086,47.4956,Гостиница
595,Vila,PT,62.74,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
597,Bikin,RU,73.33,light rain,46.8161,134.26,Azhur
598,Ipixuna,BR,87.75,broken clouds,-1.7625,-48.8043,Casa da Oscarina
599,Aykhal,RU,60.17,few clouds,66.0,111.5,
601,Sal Rei,CV,77.56,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
602,Portsmouth,GB,63.0,overcast clouds,50.799,-1.0913,Best Western Royal Beach Hotel
603,Kariba,ZW,62.55,clear sky,-16.5167,28.8,Caribbea Bay Hotel
604,Samarai,PG,78.49,broken clouds,-10.6167,150.6667,Nuli Sapi
607,Le Port,RE,69.8,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
608,Ulaangom,MN,62.94,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
609,Tecoluca,SV,80.1,light rain,13.7892,-89.0053,ciber tecoluco abajo
610,Bud,US,80.04,few clouds,39.447,-86.1758,Ted McQuinn Trust
612,Posse,BR,75.61,few clouds,-14.0931,-46.3694,Pousada das Palmeiras
614,Les Herbiers,FR,60.51,overcast clouds,46.8667,-1.0167,Maison Marie Barrault
615,Pavelets,RU,62.58,scattered clouds,53.7883,39.246,
617,Shetpe,KZ,88.03,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
618,Naze,JP,77.88,broken clouds,28.3667,129.4833,Amami Port Tower Hotel
619,Kapoeta,SS,78.82,broken clouds,4.7717,33.5903,Eastgate Hotel
621,Ergolding,DE,61.66,light rain,48.5833,12.1667,Hotel Lifestyle
