City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Yulara,AU,2021-07-29 14:48:44,-25.2406,130.9889,58.84,55,0,3.44
151,Coquimbo,CL,2021-07-29 14:48:45,-29.9533,-71.3436,47.93,81,40,3.44
152,Erzin,TR,2021-07-29 14:48:45,36.9559,36.2,93.72,33,0,10.92
153,Saint-Philippe,RE,2021-07-29 14:48:46,-21.3585,55.7679,71.19,84,47,18.32
154,Komsomolskiy,UZ,2021-07-29 14:48:46,40.4272,71.7189,92.12,16,97,4.61
155,Kenai,US,2021-07-29 14:48:46,60.5544,-151.2583,53.1,87,40,8.05
156,Hami,CN,2021-07-29 14:48:47,42.8,93.45,95.65,15,0,10.22
157,Dunnville,CA,2021-07-29 14:48:48,42.9001,-79.6163,69.64,94,100,4.79
158,Vilhena,BR,2021-07-29 14:48:48,-12.7406,-60.1458,62.82,29,0,18.41
159,Shingu,JP,2021-07-29 14:48:48,33.7333,135.9833,77.92,89,1,5.32
160,Cerrito,CO,2021-07-29 14:48:49,6.8432,-72.694,58.39,59,32,4.0
161,Tairua,NZ,2021-07-29 14:48:49,-37.0167,175.85,51.1,88,36,1.23
162,Porto Novo,BJ,2021-07-29 14:48:49,6.4965,2.6036,84.02,56,42,12.33
163,Otane,NZ,2021-07-29 14:48:50,-39.8833,176.6333,40.75,94,4,1.97
164,Waldoboro,US,2021-07-29 14:48:50,44.0954,-69.3756,75.56,59,62,5.99
165,Altay,CN,2021-07-29 14:48:50,47.8667,88.1167,65.61,22,0,4.43
166,Kodiak,US,2021-07-29 14:48:41,57.79,-152.4072,53.11,82,90,0.0
167,Snasa,NO,2021-07-29 14:48:51,64.2457,12.3778,76.41,48,70,5.14
168,Airai,TL,2021-07-29 14:48:51,-8.9266,125.4092,57.69,70,11,2.46
169,Constitucion,CL,2021-07-29 14:48:51,-35.3333,-72.4167,57.6,51,0,4.34
170,Sembe,CG,2021-07-29 14:48:52,1.6481,14.5806,82.51,63,94,1.03
171,Tuktoyaktuk,CA,2021-07-29 14:48:52,69.4541,-133.0374,53.6,94,90,10.36
172,Kudahuvadhoo,MV,2021-07-29 14:48:53,2.6708,72.8944,81.18,76,90,8.1
173,Russell,US,2021-07-29 14:45:25,32.3502,-85.1999,88.92,82,1,0.0
174,Lincoln,US,2021-07-29 14:47:21,40.8,-96.667,89.44,79,1,1.01
175,San Quintin,MX,2021-07-29 14:48:53,30.4833,-115.95,71.28,78,23,10.47
176,Nouadhibou,MR,2021-07-29 14:48:54,20.931,-17.0347,76.98,69,0,17.27
177,Vao,NC,2021-07-29 14:48:54,-22.6667,167.4833,70.27,72,24,12.53
178,Rio Gallegos,AR,2021-07-29 14:48:54,-51.6226,-69.2181,42.85,70,75,13.8
